Y,DOY,H,M,TIMESTAMP,RECORD,T1,T2,T3,T4,SBT1,SBT2,SBT3,SBT4
2015,131,22,50,5/11/15 22:50,167,-1.042291,-0.9823181,-0.9370422,-0.8238068,-0.4941437,-0.5085327,-0.3172821,-0.2037964
2015,131,22,55,5/11/15 22:55,168,-0.9631988,-0.9214203,-0.875293,-0.8084503,-0.4609528,-0.40513,-0.2236603,-0.06268616
2015,131,23,0,5/11/15 23:00,169,-0.8495575,-0.7879425,-0.7530365,-0.62612,-0.3917145,-0.2779571,-0.1159149,0.07830505
2015,131,23,5,5/11/15 23:05,170,-0.7257263,-0.6872284,-0.6680206,-0.540445,-0.2686432,-0.07902221,0.05476379,0.3258667
2015,131,23,10,5/11/15 23:10,171,-0.6883087,-0.5694183,-0.6435242,-0.4466553,-0.1795746,0.09710693,0.2023804,0.5493347
2015,131,23,15,5/11/15 23:15,172,-0.5838135,-0.4724823,-0.5554138,-0.3976074,-0.1234711,0.2921051,0.2857819,0.6964417
2015,131,23,20,5/11/15 23:20,173,-0.3747436,-0.2271118,-0.3393372,-0.1173279,-0.04803467,0.5068359,0.4374542,0.9221405
2015,131,23,25,5/11/15 23:25,174,-0.1922119,-0.09796753,-0.1953766,-0.008456421,0.07275085,0.7809082,0.6783997,1.199295
2015,131,23,30,5/11/15 23:30,175,-0.05019226,0.09521179,-0.06099854,0.07099609,0.2140472,0.9554443,0.9538574,1.379297
2015,131,23,35,5/11/15 23:35,176,0.1556824,0.4093933,-0.007223511,0.3800171,0.2902466,1.188953,1.116379,1.593634
2015,131,23,40,5/11/15 23:40,177,0.4625,0.8168335,0.3446259,0.7435425,0.3985748,1.620203,1.358426,2.000436
2015,131,23,45,5/11/15 23:45,178,0.7781219,1.041342,0.6358154,0.973526,0.6062225,1.95802,1.81749,2.362705
2015,131,23,50,5/11/15 23:50,179,1.058618,1.379864,0.8288422,1.206436,0.8207337,2.30361,2.294888,2.803916
2015,131,23,55,5/11/15 23:55,180,1.322583,1.877383,1.009396,1.66225,0.9742249,2.765466,2.587585,3.132559
2015,132,0,0,5/12/15 0:00,181,1.703641,2.209934,1.487195,1.848807,1.20354,3.335236,2.89899,3.529831
2015,132,0,5,5/12/15 0:05,182,1.763269,2.3301,1.541623,1.880447,1.533734,3.888919,3.285852,4.005628
2015,132,0,10,5/12/15 0:10,183,1.778067,2.437653,1.319858,1.941415,1.548465,4.325476,3.261267,4.38606
2015,132,0,15,5/12/15 0:15,184,2.185364,2.974921,1.766028,2.288464,1.603937,4.809097,3.366559,4.688934
2015,132,0,20,5/12/15 0:20,185,2.565613,3.350198,1.97915,2.541232,1.696219,5.322299,3.504898,4.803122
2015,132,0,25,5/12/15 0:25,186,2.874127,3.604526,2.333755,2.948959,1.865424,5.789737,3.738971,4.911966
2015,132,0,30,5/12/15 0:30,187,3.21792,3.838812,2.769565,3.236603,2.039176,6.170129,3.932306,5.092267
2015,132,0,35,5/12/15 0:35,188,3.91087,4.670239,3.410962,3.521692,2.331146,6.535657,4.439902,5.338367
2015,132,0,40,5/12/15 0:40,189,4.038931,4.867484,3.512033,3.702405,2.784878,6.91767,5.181796,5.670096
2015,132,0,45,5/12/15 0:45,190,3.898257,4.84537,2.912268,3.538376,2.870853,7.20036,5.134607,5.59422
2015,132,0,50,5/12/15 0:50,191,4.405368,5.241162,3.634299,4.247851,3.01796,7.419943,5.255395,5.559708
2015,132,0,55,5/12/15 0:55,192,5.236001,5.472552,4.33934,4.426492,3.380179,7.691495,5.976593,5.887927
2015,132,1,0,5/12/15 1:00,193,5.265106,5.418457,3.779456,4.2957,3.961771,7.514847,6.531613,5.866076
2015,132,1,5,5/12/15 1:05,194,4.844656,5.098651,3.987732,4.323813,4.259094,6.99129,6.335773,5.687683
2015,132,1,10,5/12/15 1:10,195,5.42229,5.394934,4.247321,4.376581,4.487823,5.775888,6.408881,5.388763
2015,132,1,15,5/12/15 1:15,196,5.517749,6.155319,4.639884,4.939816,4.519818,5.328891,6.241889,5.34725
2015,132,1,20,5/12/15 1:20,197,5.984122,6.875,5.398911,5.611551,4.57059,5.62959,6.293488,5.443802
2015,132,1,25,5/12/15 1:25,198,6.14491,6.944482,5.265152,5.432288,4.719699,6.047336,6.526758,5.677469
2015,132,1,30,5/12/15 1:30,199,6.420508,6.96846,5.544919,5.598376,4.843802,6.230994,6.844962,5.646844
2015,132,1,35,5/12/15 1:35,200,6.489731,6.946677,5.272031,5.570477,4.879257,6.083402,6.979144,5.498352
2015,132,1,40,5/12/15 1:40,201,6.633111,7.479987,5.47074,5.873935,4.797403,5.8884,6.717139,5.355249
2015,132,1,45,5/12/15 1:45,202,7.037951,7.699869,5.922894,6.12847,4.85585,6.148431,6.766403,5.446542
2015,132,1,50,5/12/15 1:50,203,7.820679,8.315249,6.242758,6.740909,5.032971,6.619687,6.999716,5.796439
2015,132,1,55,5/12/15 1:55,204,7.337982,7.395035,6.102521,6.046005,5.288986,6.647458,7.232242,5.97793
2015,132,2,0,5/12/15 2:00,205,8.020541,8.450482,6.635553,6.874158,5.446851,6.165647,7.222022,5.653024
2015,132,2,5,5/12/15 2:05,206,8.721212,9.686007,7.469867,7.694715,5.608862,6.766366,7.716797,6.142044
2015,132,2,10,5/12/15 2:10,207,9.501633,10.26398,7.978311,7.849915,5.971128,7.511658,8.385419,6.76301
2015,132,2,15,5/12/15 2:15,208,9.258328,9.66643,7.854437,7.45816,6.445984,7.795844,8.953748,6.809814
2015,132,2,20,5/12/15 2:20,209,9.558637,9.750137,7.715704,7.897946,6.66297,7.310349,8.984408,6.695264
2015,132,2,25,5/12/15 2:25,210,9.967728,10.57022,7.864581,8.664411,6.7388,7.862103,9.119507,7.09278
2015,132,2,30,5/12/15 2:30,211,9.27887,9.797491,7.550498,7.94422,6.717145,8.115973,8.901831,7.54686
2015,132,2,35,5/12/15 2:35,212,9.279874,9.372229,7.799057,8.004333,6.814267,7.846326,8.571551,7.590292
2015,132,2,40,5/12/15 2:40,213,9.17724,9.457026,7.412109,7.845535,7.028079,8.016993,8.586514,7.547913
2015,132,2,45,5/12/15 2:45,214,8.595337,8.750913,7.71806,7.93136,7.066308,7.683649,8.075281,7.582343
